fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220430 084426	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1507	TRUE	0.00603084725456909	0.2161464244604	1243	961	0.0138531893494886	0.67311003372573	69.4208408592072	37304000	121
20220430 084743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1181	TRUE	0.0142663741028221	0.291223561270321	7996	694	0.0142971423192349	6.10171569557499	30.3422680746762	37202000	122
20220430 085422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2421	TRUE	0.00530522850664963	0.276464033267413	1253	913	0.0140164485222483	24.8032998975364	27.5880346470503	36842000	123
20220430 085626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	566	TRUE	0.0129526630320085	0.260920319252668	7994	939	0.0165855801313081	4.80087350416684	25.8955140236573	36836000	124
20220430 090508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1518	TRUE	0.00672130337036263	0.499297159357031	1004	351	0.0138444516702188	3.54511025046613	21.2105533939406	37259000	125
20220430 090608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	169	TRUE	0.100791653712771	0.217659285220903	568	936	0.0135957629164831	0.189673233981761	83.8772598715626	36640000	126
20220430 091338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1792	TRUE	0.00547726718729686	0.265199147283969	1275	980	0.0132058598333843	8.46947924473288	59.8378750367003	37016000	127
20220430 091706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	580	TRUE	0.0141257264394697	0.200830682577699	1357	814	0.0145850440283159	6.03511670192485	37.0360203449018	37340000	128
20220430 092331	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1208	TRUE	0.0108221019001129	0.201099617685511	1039	1012	0.0168035081981173	0.331336356677006	94.0526547901503	37052000	129
20220430 092424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	58	TRUE	0.199774806785545	0.499968472943615	941	509	0.0121225607235293	2.7824925225329	20.6199585097908	36105000	130
20220430 093556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2127	TRUE	0.00545749171685889	0.200423587991893	1336	932	0.0145294035719222	0.818845307814025	39.5212134519494	37155000	131
20220430 094602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1887	TRUE	0.0069945578917184	0.206022820703847	1025	838	0.0145379082783989	2.41091989438446	73.576085814542	37332000	132
20220430 094734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	78	TRUE	0.156070266592275	0.326177028037161	74	1018	0.0119206727638052	2.43008628379789	40.9619913318744	36627000	133
